timestamp,platform,label1,label2,label3,diff,content
2024/9/14 8:40,dy,0,0,0,0,[捂脸][捂脸][捂脸]
2024/9/14 8:43,dy,0,0,0,0,那就找替补吧
2024/9/14 9:14,dy,1,1,1,0,LNG赚麻了，去不了世界赛得赔多不止两年工资吧！
2024/9/14 9:19,dy,0,0,0,0,[666][666][666]
2024/9/14 9:21,dy,1,1,1,0,edg连大使馆都不怕会怕你一个小小的经纪公司？你让青瓦台出面才有可能让edg不要这笔钱
2024/9/14 9:26,dy,1,1,1,0,lng可以告他隐瞒啊 [笑哭]
2024/9/14 9:29,dy,0,0,0,0,这不比比赛好看多了
2024/9/14 9:35,dy,1,1,1,0,这是在中国，一切按法律办。法律说要你限制出境，你就老老实实的待着。威胁edg撤销出境限制就先赔钱。万一出国境跑了呢？
2024/9/14 9:57,dy,1,1,1,0,想起几个人，小晦菌事件里的几个被告也是有事不去法院说，总在发小作文，潘总的直播切片传的到处都是，这要是胡言乱语，告他造谣也太容易了吧[尬笑]
2024/9/14 10:05,dy,1,1,1,0,经纪公司还去威胁爱德朱  真当爱德朱好欺负呢
2024/9/14 10:07,dy,1,1,1,0,scout越想越亏 还不如当时不卖力输了资格赛 现在赔两边[看]
2024/9/14 10:13,dy,1,1,1,0,这LNG能忍？不反手起诉他？
2024/9/14 10:16,dy,1,0,0,-1,违规的是scout，占理是edg，倒霉的是lng，lng应该找scout理赔
2024/9/14 10:23,dy,1,0,0,-1,scout哥最近在哪里发财呀[不失礼貌的微笑]
2024/9/14 10:26,dy,1,1,1,0,我是LNG可以不去世界赛，EDG告完LNG继续上。
2024/9/14 10:26,dy,1,1,1,0,@sjaveuob: 《占～理～的～话～怎～么～不～去～告～啊》
2024/9/14 10:27,dy,0,0,0,0,我想不通为啥这个韩国的经纪公司会觉得EDG害怕舆论压力啊？EDG什么大风大浪没经历过啊，S4建队新闻，S5 0-4 S6 4396 S7十六强，S12被让二追三，何况现在EDG在LOL已经是LPL唯一大满贯战队了，还怕什么？？
2024/9/14 10:28,dy,1,0,0,-1,“如果edg真的有问题，那lng为什么不告他[捂脸][OK]”
2024/9/14 10:28,dy,1,1,1,0,LPL缺不缺冠军我不知道 但一定缺热度  所以官方明面上调停 背地里指不定希望闹的越大越好[捂脸]
2024/9/14 10:29,dy,0,0,0,0,现在不是挑战EDG，而是挑战中国法律，法院已经判了，限制你出境，你在中国就必须遵守中国法律
2024/9/14 10:51,dy,1,1,1,0,好了 出不去 edg赔不起算了 说不定还要给lng清算[看]打了一辈子的工还倒欠了[笑哭]
2024/9/14 10:53,dy,1,1,1,0,他应该有钱赔的、他拿那么多年顶薪，之前都没经纪人，没有中间商，只是舍不得掏出来
2024/9/14 10:57,dy,1,0,1,-1,别急，等世界赛结束了，李宁反手起诉盗圣！
2024/9/14 10:59,dy,1,0,0,-1,我想问，LNG可以告SCOUT吗？然后再违约金给他整个几百一千万的？
2024/9/14 11:00,dy,1,1,1,0,[捂脸] 国电这辈子就没怕过舆论
2024/9/14 11:00,dy,1,1,1,0,EDG违法就去告他啊[笑哭]
2024/9/14 11:07,dy,1,1,1,0,就这点舆论还想搞edg 这点风浪不如鱼死网破今晚就走一根 [捂脸]
2024/9/14 11:07,dy,1,1,1,0,还给edg压力，知道国内成绩最好的俱乐部是谁吗 [捂脸] ，逆天经纪公司，韩国5000w人，还没中国一个省多，还舆论，小丑韩国经济公司
2024/9/14 11:08,dy,0,1,1,1,老EDG了，合同
2024/9/14 11:11,dy,0,0,0,0,我个人认为租借规则是不能随意升级阵容，但是他去不了，租借我Rookie我觉得合理，毕竟是不可抗力
2024/9/14 11:11,dy,0,1,0,1,或许他们以为这是在韩国。。。。。
2024/9/14 11:12,dy,1,1,1,0,edg怕舆论早解散了
2024/9/14 11:25,dy,0,0,0,0,我记得以前月开不是李宁替补中单吗  走了吗
2024/9/14 11:26,dy,1,1,1,0,最搞笑的就是要拿舆论来威胁edg 闪击波兰这事edg都毫无压力[看]
2024/9/14 11:29,dy,1,1,1,0,可笑的是经纪公司想要去厕所引导舆论去给国电压力[捂脸][捂脸][捂脸][捂脸]，国电还怕厕所那几条东西吗？[捂脸][捂脸][捂脸]
2024/9/14 11:31,dy,1,1,1,0,还是那句话 能整出闪击波兰这种血活的俱乐部会怕这种舆论压力？[捂脸][捂脸][捂脸]
2024/9/14 11:32,dy,1,1,1,0,你跟edg玩舆论是吧，知不知道国电怎么来的[尬笑]
2024/9/14 11:35,dy,1,0,0,-1,lng签了scout就知道有这一天了，谁都不是傻子，
2024/9/14 11:35,dy,1,0,1,-1,他们惹到了最不怕舆论的公司[看]，EDG就是在舆论上建立的公司，以前的粉丝可比现在暴力多了，那样EDG都没用，现在这种只能说毛毛雨都不算
2024/9/14 11:35,dy,1,1,1,0,scout不光要赔偿edg，后续还要赔偿lng呢！
2024/9/14 11:36,dy,1,0,0,-1,支持EDG，Scout他应该感谢EDG没有学RNG
2024/9/14 11:39,dy,1,1,1,0,出事就甩锅经济公司？？？他自己成白莲花了，啥都不知道？
2024/9/14 11:43,dy,1,1,1,0,这人也是无敌了，说什么信什么，到时候经纪公司跑路了，他人就完蛋了
2024/9/14 11:44,dy,1,1,1,0,这在对战世界赛你EDG没进去你不早说，现在确定出赛名单了整这出，这就不是一个冠军战队该有的风范
2024/9/14 11:48,dy,0,0,0,0,这不是吕布么[不失礼貌的微笑]
2024/9/14 11:50,dy,1,1,1,0,LNG就不该签scout
2024/9/14 11:51,dy,1,1,1,0,漂亮 lng也起诉他[机智] 他就两边赔
2024/9/14 11:53,dy,1,1,1,0,撤诉感觉难，现在限制出境，真去了世界赛，打完世界赛直接回韩国了，谁还回来和你打官司
2024/9/14 12:03,dy,1,1,1,0,LNG不可能什么都不知道，低价买了辆二手豪车，难道想不到这车泡过水么[白眼]
2024/9/14 12:06,dy,1,1,1,0,lng还等什么，这都不告小学弟[看]
2024/9/14 12:10,dy,1,1,1,0,这edg能承受啥舆论压力啊？大家又不是不认识字
2024/9/14 12:12,dy,1,0,0,-1,别人忙着出征，我们忙着打官司，别人在学习技术，我们在研究墨家机关道[泪奔]
2024/9/14 12:32,dy,1,0,0,-1,正解是LNG也起诉小学弟和他的经纪公司[抠鼻]
2024/9/14 12:45,dy,1,0,1,-1,让替补去打中路吧[捂脸] 反正不指望了
2024/9/14 13:00,dy,0,0,0,0,nip和jdg真有复活赛？[舔屏][流泪][宕机]
2024/9/14 13:13,dy,1,1,1,0,Lng没必要赔钱，世界赛顶多也就16强，不拿冠军，赔那么多钱不值当的，所以lng世界赛随便找个替补上去打打吧，回来把这个韩国人跟他经纪公司一起告了就好了[捂脸]
2024/9/14 13:17,dy,1,0,0,-1,edg：这舆论压力比起当年算啥 [看]
2024/9/14 13:33,dy,1,1,1,0,都叫国电了，闪击波兰的狠活都整过了，edg还害怕这点舆论压力啊[看][看][看]
2024/9/14 13:52,dy,1,0,1,-1,我要是LNG，我就要求SCOUT赔钱
2024/9/14 14:02,dy,0,0,0,0,去年不是去世界赛了吗？[暗中观察]
2024/9/14 14:10,dy,0,0,0,0,我想不到EDG害怕的舆论是怎么样的
2024/9/14 14:16,dy,1,0,0,-1,舆论压力 EDG被骂了多少年真不怕被骂了
2024/9/14 14:19,dy,1,0,1,-1,这经济公司真的逆天…
2024/9/14 14:37,dy,1,1,1,0,edg当年闪击波兰都没有怕
2024/9/14 15:10,dy,1,1,1,0,叫他拉扯反复横跳
2024/9/14 15:14,dy,1,0,0,-1,LNG可以反告scout那边吧[看][看]
2024/9/14 15:23,dy,0,1,1,1,即使思烤特转会回韩国，也要把钱补齐了 才能走么
2024/9/14 15:36,dy,1,1,1,0,总结就是edg lng scout都被scout经纪公司耍了
2024/9/14 15:55,dy,1,0,0,-1,scout经纪公司的话术根本不合理啊，如果LNG早知道限制出境，不可能不准备替补啊，难道LNG已经预估自己打不进世界赛了？
2024/9/14 15:58,dy,1,1,1,0,好了现在lng可以也起诉scout为s15作装备[微笑]
